Alay,Baik
tf, transfer
kga,tidak
ndak,tidak
mhal,mahal
ju,jujur
lair,lahir
expared,expired
knapa,kenapa
kenpa,kenapa
pembaruan,pembaharuan
gug,gak
jrgan,jaringan
transak,transaksi
lu,kamu
ngapa,kenapa
maren,kemaren
sblmnya,sebelumnya
eror,error
rbu,ribu
mluu,mulu
manatap,mantap
enggak,tidak
god,good
rec,rekening
bekitu,begitu
makasa,maksa
buangt,banget
mantab,mantap
jik,jika
bagai mana,bagaimana
eroro,error
brbicara,berbicara
separo,setengah
tek,akan
lag,lah
teru,terus
hadehh,aduh
jls,jelas
jm,jam
luemot,lambat
ribett,susah
onlen,online
salalu,selalu
bagst,bangsat
jagn,jangan
maapan,maaf
doanh,doang
sesuei,sesuai
gabusa,tidak bisa
virifikasi,verifikasi
apps,aplikasi
entah,gatau
qempurna,sempurna
ngax,tidak
mantasp,mantap
rek,rekening
teimakasih,terimakasih
hao,halo
troo,terus
buwat,untuk
mashi,masih
ojok,jangan
ruwetti,sulit
gawene,kerja
baguus,bagus
bin,dan
fiturny,fiturnya
mndiri,mandiri
jengkel,kesal
duid,uang
trtera,tertera
aemua,semua
pkl,pukul
tidack,tidak
tahi,tai
ribeet,sulit
waduh,aduh
maah,malah
tm,tambah
jm,juga
eroor,error
lebaih,lebih
nrima,terima
naah,nah
krg,kurang
mskny,masuknya
dounlod,download
lelet,lambat
sepertix,seperti
harusx,harus
baikx,baik
porses,proses
okejh,ok
mandiiri,mandiri
mala,namun
asu,anjing
dkomplen,dikomplain
blan,bulan
tbungan,tabungan
drubah,dirubah
buruk,buruk
aktfkam,aktifkan
amplikasi,aplikasi
prbaiki,perbaiki
mslah,masalah
adu,aduh
onlen,online
bust,buat
bnged,banget
gemgaman,gemgaman
app,aplikasi
tlng,tolong
susahh,susah
psng,pasang
goodd,good
fiman,gimana
apaann,apa
gak,tidak

